DataOffers ID,DataOffer Name,Incentive,Charges,DataOffer Category,Validity,Time Window,Subscription Code,DataOffer Detail,DataOffer Description
2,1 GB Add-On,1 GB,Rs.363.83 [Excl Tax],Postpaid,30 days,24,*446#,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p> ",1 GB add on only for 30 days
3,Data Add-On 1,400 MB,100+tax,Postpaid,30 DAYS,24,*446#,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p> ",400 MB Add-On
4,Data Add-On 2,2000,300+Tax,Postpaid,30,24,*446#,"<p>Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code</p> ",2000 MB Add-On
5,4 GB Add-On,4 GB,Rs.582.14 [Excl Tax],Postpaid,30,24,*446#,,4 GB Add-On only for 30 days
6,3G Pay As You Use,As per usage,Rs.2.39/MB,Postpaid,Unlimited,24,*446#,,"Rs.2.39/MB (Inclusive of Tax) for All Postpaid Consumer Subs , Activation option is received after consumption of Mini/Max"
7,GPRS 125 - Data 2(NA for new users),125MB,Rs.125 Line Rent,Postpaid,30 Days,24,Helpline/Business Center/Franchise,,Rs.18 per MB will be charged after consumption of 125 MB free data
8,3G Monthly Max(Discontinued),8 GB,"Rs. 1,000",Postpaid,30,24,Not Available for New Subscriptions,,8GB 3G data for Rs.1000
9,4x Data Bundle,as per package,as per package,Postpaid,12 months,24,-,,4 Times Data Offer is for all new Postpaid customers will get four times their package data incentives for 12 months.
15,5GB CVM 4G Only Data Bundle,"5 GB (4G only) 100 MBs (2G/3G) ",Rs.0,Prepaid,X+6days,24 hours,N/A,"<p>Mechanics &amp; Offer Details:&nbsp;</p>  <p>&bull;&nbsp;&nbsp; &nbsp;This is a 4G only CVM provisioned bundle which will be offered to selected prepaid customer base only<br /> &bull;&nbsp;&nbsp; &nbsp;This bundle consists of 5 GB of 4G only internet and 100 MBs of 2G/3G (to avoid bill shock)<br /> &bull;&nbsp;&nbsp; &nbsp;Bundle subscription free of cost and its valid for X+6days<br /> &bull;&nbsp;&nbsp; &nbsp;Bundle will be pushed on selected base from Backend<br /> &bull;&nbsp;&nbsp; &nbsp;To check remaining MBs and validity customer need to dial USSD code *671*2# (charges Rs.0.06)<br /> Important Points:<br /> &bull;&nbsp;&nbsp; &nbsp;We need to positively guide customer regarding this offer mechanics where inquired<br /> &bull;&nbsp;&nbsp; &nbsp;This bundle can be checked through CSR TB (consumption tab) and MINSAT for&nbsp;customers respectively. Please refer to attached document for better customer facilitation/handling<br /> &bull;&nbsp;&nbsp; &nbsp;Offer will be targeted to selected customer base and its visibility will also be available at Campaigns Touch Point Visibility portal<br /> &bull;&nbsp;&nbsp; &nbsp;Different campaigns will have different messages that will be available on Campaigns Touch Point Visibility portal for this offer promotion<br /> &bull;&nbsp;&nbsp; &nbsp;We need to handle customer upfront where customer calls for any adjustment of data usage since it&rsquo;s a free bundle and 100MB is already added to bundle mechanics for avoiding bill shock</p> ","In order to increase our 4G data usage base, we will be offering a bundle 5GB CVM 4G Only Trial Bundle (Weekly) to our selected prepaid customers."
20,MBB Welcome Back Offer,70 GB,Rs.1043.47,Prepaid,30 days (Child Offer),24 hours,"*6363*8# ","<p><strong><span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,sans-serif""><span style=""color:black"">Rs1045 Recharge </span></span></span></strong></p>  <p>Usage &amp; Subscription Notifications<br /> &bull;&nbsp;&nbsp; &nbsp;Customer can subscribe welcome back offer by dialing <span style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,sans-serif"">*6363*8# </span></span> from Jazz WiFi Device App or 192.1681.1.1 portal (USSD section)<br /> &bull;&nbsp;&nbsp; &nbsp;Offer availing customer can check usage by dialing *6363# and going to option 4<br /> &bull;&nbsp;&nbsp; &nbsp;6363 Menu is accessible from Device &amp; Jazz Dongle SIM<br /> &bull;&nbsp;&nbsp; &nbsp;Offer usage threshold notifications will be sent to MBB nos. and OCN (all OMOs)</p>  <p>&bull;&nbsp;&nbsp; &nbsp;Customer can avail this offer multiple times during 90days, incentive would be added and latest validity would be applicable &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<br /> &bull;&nbsp;&nbsp; &nbsp;Only Eligible Customers will be notified to subscribe the offer on both MBB and OCN number<br /> o&nbsp;&nbsp; &nbsp;As soon as customer become part of churn pool base, a trigger notification SMS will be sent to the customer<br /> &bull;&nbsp;&nbsp; &nbsp;Welcome Back Offer is a once-off, and will not recur automatically. Subscription from customer would be required to avail this offer again<br /> &bull;&nbsp;&nbsp; &nbsp;Bundle benefits are valid for 30days only, and will add on multiple subscriptions<br /> &bull;&nbsp;&nbsp; &nbsp;Data allowance can be used on both 2G/3G/4G network subject to handset and network coverage<br /> &bull;&nbsp;&nbsp; &nbsp;Data allowance can be used on new and existing Jazz WIFI/Wingle devices</p>  <p>&bull;&nbsp;&nbsp; &nbsp;Complaint handling will be as existing updated in Mobics under &nbsp;Quick Help(MBB Dongle Complaint Handling)</p> ","Eligible Customers •	All dormant customers can subscribe to this offer if they have not used Dongle sim from 26th October-2018 or before •	Customer can check eligibility by dialing *6363# and going to option 4 •	Welcome back offer subscription details will be displayed only to eligible customers •	This offer is only available for MBB SIM (SC-62) customers, and not valid for Data Sim (SC18) customers; 90Day churn pool will keep on updating from back end"
