ID,Package Name,Type,On Network Calls Base Rate,On Network Calls Tax,PTCL Calls Base Rate,PTCL Calls Tax,FNF Calls Base Rate,FNF Calls Tax,Off Network Calls Base Rate,Off Network Calls Tax,Off Network Calls 2nd Pulse,Off Network SMS Base Rate,Off Network SMS Tax,Off Network SMS 2nd Pulse,On Network SMS Base Rate,On Network SMS Tax,On Network SMS 2nd Pulse,International SMS Base Rate,International SMS Tax,International SMS 2nd Pulse,MMS 50KB,Data MB,Total Incentives Minutes,PTCL Incentives Minutes,FNF Incentives Minutes,On Network Incentives Minutes,Off Network Incentives Minutes,2G/3G Incentives Minutes,Local Network SMS,SMS Line Rental,NWD Security Deposit,ISD Security Deposit,IR Security Deposit,Notes,Remarks,FNF Numbers,FNF Base Rate,FNF Tax,FNF 2nd Pulse,Calls Pulse Rate,Setup Calls Charges,GPRS MB,Daily Charges,Importance Level,Subscription Code,Work Code,Offers,Data Offers,IDD Offers
1,Jazz Budget,Prepaid,Rs.3.50/60 sec (Incl. Tax) ,Rs.3.50/60 sec (Incl. Tax),,,,,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),,2.09+tax/sms,2.5/sms,,2.09+tax/sms,2.5/sms,,Rs.10+tax/sms,Rs. 11.98/sms,,6 rs,,,,,,,,,,,,,,,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"<p>&nbsp;</p>  <ul> 	<li>Direct USSD: *301# <strong>(string is disabled effective from 9th june, 2023)</strong></li> 	<li>Package Conversion Charges: Rs. 15 + Tax</li> 	<li>Note: 1st time package plan conversion is free</li> </ul>  <p>&nbsp;</p> ",*301# ,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget  Base  Default  Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget  Base  Default  Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget  Base  Default  Complaints  General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget  Base  Default  Complaints  Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Incentive Issue</td> 		</tr> 	</tbody> </table> ",,,
2,Champion Package,Prepaid,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,,,,,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,,Rs 2.5/SMS Incl Tax,,,Rs 2.5/SMS Incl Tax,Rs 2.5/SMS Incl Tax,,Rs. 10/SMS + Tax,Rs 11.95 incl. tax,,,,,,,,,,,,,,,,,,,,,Per Minute,Rs0.15,Rs. 5/MB,,"<p>&bull;&nbsp;&nbsp; &nbsp;All MNP &amp; new sales will get Jazz Champion&rsquo;s by default<br /> &bull;&nbsp;&nbsp; &nbsp;Other package subscribers can migrate to Jazz Champions by dialing *337#<br /> &bull;&nbsp;&nbsp; &nbsp;Call set up fee Rs. 0.15 is applicable<br /> &bull;&nbsp;&nbsp; &nbsp;Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc<br /> &bull;&nbsp;&nbsp; &nbsp;If you are not subscribed to any data bundle, base rate will be charged i.e. Rs.5/MB. Charging Pulse will be 512 KB</p>  <p>Customer can avail this bundle from our selfservice channels i.e., 3111 SelfService IVR.</p> ",*337#,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package  Base  Default  Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package  Base  Default  Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package  Base  Default  Complaints  Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Incentive Issue</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package  Base  Default  Complaints  Wrong/Over Charging</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Wrong/Over Charging</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package  Base  Default  Complaints  General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  General</td> 		</tr> 	</tbody> </table> ",,,
3,J300,Postpaid,Rs.2.2/min + tax,,Rs.2.2/min + tax,,Rs.0.75,Rs. 0.90,Rs.2.2/min + tax,,,0.75 + tax,2.09/min,,Rs.0.75,Rs. 0.90,,5.00 /SMS,5.98,,,5/MB,1165,,,1000,165,3 GB [1.5 GB Social],1000 SMS (All Network),,1000,1000,5000,"<p>Social media includes Twitter, Facebook &amp; whatsapp</p>  <p>OnNet minutes are useable for calls to Warid Network as well<br /> Free minutes and FnF Min will not available during IR<br /> Packages are recursive in charging (monthly) and proratable<br /> No CPP charges will be applied on these packages<br /> GPRS rates would be the Rs.18/MB with 64KB minimum charging unit<br /> Package is available to consumer catalogue only &amp; not business<br /> If an FnF number is changed or added, it will take effect from the next day. If a number is deleted or replaced, it will end on the same day at 23:59, as per current scenario for all existing packages<br /> An FnF number added or updated cannot be deleted again on the same day. Delete action can only work from the next day<br /> If an FnF number ports out, the FnF discount will no longer apply to calls made to it</p> ",,,,,,,,,,,,"<table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">J 300  Base  Default  Activation</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">J 300  Base  Default  Information</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">J 300  Base  Default  Complaints  Incentive Issue</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:38px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">J 300  Base  Default  Complaints  Wrong/Over Charging</span></span></span></td> 		</tr> 	</tbody> </table>  <table cellspacing=""0"" style=""bordercollapse:collapse; width:516px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid lightgrey; borderleft:1px solid lightgrey; borderright:1px solid lightgrey; bordertop:1px solid lightgrey; height:20px; textalign:left; verticalalign:top; whitespace:normal; width:516px""><span style=""fontsize:13px""><span style=""color:black""><span style=""fontfamily:&quot;Segoe UI&quot;,sansserif"">J 300  Base  Default  Complaints  General</span></span></span></td> 		</tr> 	</tbody> </table> ",,,
5,Jazz One,Prepaid,Rs.3.50 (incl.tax)  / 60 Seconds,Rs.3.50 (incl.tax)  / 60 Seconds,,,,,Rs.3.50 (incl.tax)  / 60 Seconds,Rs.3.50 (incl.tax)  / 60 Seconds,60 Sec,Rs. 2.15+tax / SMS,2.50/sms,,Rs. 2.15+ tax/sms,2.50/sms,,10+tax,11.98/sms,,,,,,,,,,,,,,,,,10,Rs. 0.60/30 Sec,0.72/30sec,,,,Rs. 5/MB,,"<p>Direct USSD: &nbsp;*302#&nbsp; <strong>(string is disabled effective from 9th june, 2023)</strong>&nbsp;</p>  <p>Package Conversion Charges: Rs. 15 + tax, Rs.17.95 (inc tax)</p>  <p>Note: 1st time package plan conversion is free &nbsp;</p>  <p><strong>UPDATE: Please note that effective <span style=""fontsize:12px"">14th March 2024 11:59PM below mentioned&nbsp;</span>discounted voice payg rates will NOT be available&nbsp;for Jazz One service class. Normal call rates mentioned above&nbsp;(3.50/60 sec) will be charged to the customer. Customer having main account balance less than PKR 3.65 (Call base rate + Call setup charges) will not be able to intiate the call.</strong></p>  <p><span style=""fontsize:12px""><strong>Voice PayG Pilot (Starting from 12th Sep Expired: 14th March 2024 11:59PM)</strong></span></p>  <p>We are conducting a pilot on <strong>Jazz One service class for discounted voice payg rates at balance less than Rs.3.65</strong>. Customers having balance less than Rs.3.65 will be able to generate a new payg call and be charged based below banding for available balance.</p>  <table border=""1"" cellpadding=""0"" cellspacing=""0"" style=""width:510px""> 	<tbody> 		<tr> 			<td colspan=""2""> 			<p><span style=""fontsize:11px""><strong>Current Balance</strong></span></p> 			</td> 			<td rowspan=""2""> 			<p><span style=""fontsize:11px""><strong>PayG Rate</strong></span></p> 			</td> 			<td rowspan=""2""> 			<p><span style=""fontsize:11px""><strong>Call Setup</strong></span></p> 			</td> 			<td rowspan=""2""> 			<p><span style=""fontsize:11px""><strong>Total Deduction</strong></span></p> 			</td> 		</tr> 		<tr> 			<td> 			<p><span style=""fontsize:11px""><strong>Min</strong></span></p> 			</td> 			<td> 			<p><span style=""fontsize:11px""><strong>Max</strong></span></p> 			</td> 		</tr> 		<tr> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">3.15</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">3.64</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px""><strong>2.70</strong></span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">0.15</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px""><strong>2.85</strong></span></p> 			</td> 		</tr> 		<tr> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">2.65</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">3.14</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px""><strong>2.20</strong></span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">0.15</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px""><strong>2.35</strong></span></p> 			</td> 		</tr> 		<tr> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">2.15</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">2.64</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px""><strong>1.70</strong></span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">0.15</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px""><strong>1.85</strong></span></p> 			</td> 		</tr> 		<tr> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">1.65</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">2.14</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px""><strong>1.20</strong></span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">0.15</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px""><strong>1.35</strong></span></p> 			</td> 		</tr> 		<tr> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">1.15</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">1.64</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px""><strong>0.70</strong></span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px"">0.15</span></p> 			</td> 			<td style=""verticalalign:bottom""> 			<p><span style=""fontsize:11px""><strong>0.85</strong></span></p> 			</td> 		</tr> 	</tbody> </table>  <p><span style=""fontsize:11px""><strong>Important Points:</strong></span></p>  <ul style=""liststyletype:disc""> 	<li><span style=""fontsize:11px"">This is a pilot and will only be carried out on <strong>&lsquo;Jazz One&rsquo;</strong> service class</span></li> 	<li><span style=""fontsize:11px"">We are currently charging customers voice payg rate @ Rs.3.5 per min (Rs. 3.65 including call setup charge)</span></li> 	<li><span style=""fontsize:11px"">These rates will only apply on new calls. </span></li> 	<li><span style=""fontsize:11px"">In case of low balance, ongoing call will disconnect, and customer will then be able to dial a new call at discounted rate.</span></li> 	<li><span style=""fontsize:11px"">These rates will be applicable on both onnet &amp; offnet Min however will not be applicable below Rs. 1.15 balance</span></li> 	<li><span style=""fontsize:11px"">Rest of the existing mechanics will remain same</span></li> </ul> ",*302#  ,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz One  Base  Default  Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz One  Base  Default  Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz One  Base  Default  Complaints  General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz One  Base  Default  Complaints  Wrong/Over Charging</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Wrong/Over Charging</td> 		</tr> 	</tbody> </table> ",,,
6,Jazz Easy,Prepaid,Rs. 3.50 (inc tax) / 60 sec,Rs. 3.50 (inc tax) / 60 sec,,,,,Rs. 3.50 (inc tax) / 60 sec,Rs. 3.50 (inc tax) / 60 sec,30 Sec,Rs. 2.50/sms,,,Rs. 2.50/sms,Rs. 2.50/sms,,Rs. 11.95 inc tax,Rs. 11.95 inc tax,,,,,,,,,,,,,,,,,,2.78 / 60 sec,Rs.3.32 / 60s,,60sec,Rs0.15,Rs. 5/MB,,<p>Package Conversion Charges: Rs. 15</p>  <p>Note: 1st time package plan conversion is free</p>  <p>&nbsp;</p> ,*305# ,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Easy  Base  Default  Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Easy  Base  Default  Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Easy  Base  Default  Complaints  Wrong/Over Charging</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Wrong/Over Charging</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Easy  Base  Default  Complaints  General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Easy  Base  Default  Complaints  Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Incentive Issue</td> 		</tr> 	</tbody> </table> ",,,
7,Champion Package II,Prepaid,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,,,,,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,,Rs 2.5/SMS,Rs 2.5/SMS,,Rs 2.5/SMS,Rs 2.5/SMS,,Rs 10/SMS + Tax,Rs 11.95 incl. tax,,,,,,,,,,,,,,,,,,,,,Per Minute,Rs0.15,Rs.5/MB,,"<p>&bull;&nbsp;&nbsp; &nbsp;All MNP &amp; new sales will get Jazz Champion&rsquo;s by default<br /> &bull;&nbsp;&nbsp; &nbsp;Other package subscribers can migrate to Jazz Champions by dialing *337#<br /> &bull;&nbsp;&nbsp; &nbsp;Call set up fee Rs. 0.15 is applicable<br /> &bull;&nbsp;&nbsp; &nbsp;Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc<br /> &bull;&nbsp;&nbsp; &nbsp;If you are not subscribed to any data bundle, base rate will be charged i.e. Rs.5/MB. Charging Pulse will be 512 KB</p> ",*337#,"<table cellspacing=""0"" style=""bordercollapse:collapse""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package II  Base  Default  Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package II  Base  Default  Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package II  Base  Default  Complaints  Wrong/Over Charging</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Wrong/Over Charging</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package II  Base  Default  Complaints  General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package II  Base  Default  Complaints  Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints  Incentive Issue</td> 		</tr> 	</tbody> </table> ",,,
8,Special Afghan SIM,Prepaid,Rs. 0.84,Rs. 0.90,,,,,Rs. 0.84,Rs. 0.90,,Rs. 1.00,,,Rs. 1.00,,,Rs. 5.00,,,,,,,,,,,,,,,,,,,,,,,,Rs. 3,,"<p>Afghanistan Calling Rate  Rs. 4.5/15 Sec<br /> UAE, Saudia Kuwait, Qatar Calling Rate  Rs. 2/15 sec<br /> Special Afghan SIMs are now available for sale at various locations of Pakistan through our Business Centers &amp; Franchise Centers</p> ",,,,,
9,IDD World SIM,Prepaid,Rs. 2,,,,,,Rs. 2,,,Rs. 1,,,Rs. 1,,,Rs. 5,,,,,,,,,,,,,,,,,,,,,,,15 Paisa,Rs. 3,,,,,,,
11,Glow Champion ,Prepaid,Rs. 3.50/Minute Incl Tax,Rs. 3.50/Minute Incl Tax,,,,,Rs. 3.50/Minute Incl Tax,Rs. 3.50/Minute Incl Tax,,,,Rs. 2.5/SMS,Rs. 2.5/SMS,Rs. 2.5/SMS,Rs. 2.5/SMS,Rs 11.95 incl tax,Rs 11.95 incl tax,Rs 11.95 incl tax,Rs0.60,,,,,,,,,,,,,,,Rs. 2.99/Minute Incl Tax,Rs. 2.99/Minute Incl Tax,Rs. 2.99/Minute Incl Tax,,Per Minute,Rs: 0.15,5/MB,,"<p>&bull;&nbsp;&nbsp; &nbsp;All MNP &amp; new sales will get Jazz Champion&rsquo;s by default<br /> &bull;&nbsp;&nbsp; &nbsp;Other package subscribers can migrate to Jazz Champions by dialing *337#<br /> &bull;&nbsp;&nbsp; &nbsp;Call set up fee Rs. 0.15 is applicable<br /> &bull;&nbsp;&nbsp; &nbsp;Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc<br /> &bull;&nbsp;&nbsp; &nbsp;If you are not subscribed to any data bundle, base rate will be charged i.e. Rs.5/MB. Charging Pulse will be 512 KB</p> ",,<p>Prepaid Package Info</p> ,,,
12,M300,Postpaid,Rs.2.2+tax/min,,Rs.2.2+tax/min,,Rs. 0.75,0.90/min,Rs.2.2+tax/min,,,Rs. 0.75+tax,,,Rs. 0.75+tax,,,Rs. 5,Rs. 5.98/sms,,,Rs. 2+tax,300,,300,150,150,1 GB,150 SMS,25,1000,1500,5000,,,,,,,,,,,,,"<table cellspacing=""0"" style=""bordercollapse:collapse; width:696px""> 	<tbody> 		<tr> 			<td style=""borderbottom:1px solid black; borderleft:1px solid black; borderright:1px solid black; bordertop:1px solid black; height:19px; textalign:center; verticalalign:middle; whitespace:nowrap; width:695px""><span style=""fontsize:15px""><span style=""fontfamily:&quot;Calibri Light&quot;,sansserif""><span style=""color:black"">M 300  Base  Default  Complaints  Incentive Issue</span></span></span></td> 		</tr> 		<tr> 			<td style=""borderbottom:1px solid black; borderleft:1px solid black; borderright:1px solid black; bordertop:none; height:19px; textalign:center; verticalalign:middle; whitespace:nowrap""><span style=""fontsize:15px""><span style=""fontfamily:&quot;Calibri Light&quot;,sansserif""><span style=""color:black"">M 300  Base  Default  Complaints  Wrong/Over Charging</span></span></span></td> 		</tr> 		<tr> 			<td style=""borderbottom:1px solid black; borderleft:1px solid black; borderright:1px solid black; bordertop:none; height:19px; textalign:center; verticalalign:middle; whitespace:nowrap""><span style=""fontsize:15px""><span style=""fontfamily:&quot;Calibri Light&quot;,sansserif""><span style=""color:black"">M 300  Base  Default  Complaints  General</span></span></span></td> 		</tr> 		<tr> 			<td style=""borderbottom:1px solid black; borderleft:1px solid black; borderright:1px solid black; bordertop:none; height:19px; textalign:center; verticalalign:middle; whitespace:nowrap""><span style=""fontsize:15px""><span style=""fontfamily:&quot;Calibri Light&quot;,sansserif""><span style=""color:black"">M 300  Base  Default  Activation</span></span></span></td> 		</tr> 		<tr> 			<td style=""borderbottom:1px solid black; borderleft:1px solid black; borderright:1px solid black; bordertop:none; height:19px; textalign:center; verticalalign:middle; whitespace:nowrap""><span style=""fontsize:15px""><span style=""fontfamily:&quot;Calibri Light&quot;,sansserif""><span style=""color:black"">M 300  Base  Default  Information</span></span></span></td> 		</tr> 	</tbody> </table> ",,,
