Complaint ID,Complaint Name,Complaint Description,CheckList,RequiredQuestions,ImportantPoints,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,FAQs
7,Balance Check Complaint,"Incase customer is facing balance check issue on dialing *111# then we will follow below guidelines.
LOV: Cellular Complaint/Subscription and Charging/Unable to Check Balance Team: Network Complaint Team","Enter problematic MSISDN in konnect
An OTP will be sent to the customer with the following SMS text;
Agent will ask the OTP from the customer and enter it relevant field in Konnect
Once the OTP is entered, the CJI filed will be enabled and agent can punch the CJI (country network code) taken from CSRTB (CDRs) 
Important Guidelines:
 
 Coverage Map Color Matrix  
Coverage Map Color Matrix 
 Description 
Description
 Handling 
Handling
 Important Note  
Important Note 
 
 
 DARK GREEN 
DARK GREEN
 Full Coverage Area  - Both indoor/outdoor complaints will be catered 
Full Coverage Area  - Both indoor/outdoor complaints will be catered
 CCR will cater both indoor /outdoor coverage complaints and will forward case to NCU as per existing process 
CCR will cater both indoor /outdoor coverage complaints and will forward case to NCU as per existing process
 No complaint will be entertained for indoor issues which is being faced for more than 15 days. 
No complaint will be entertained for indoor issues which is being faced for more than 15 days.
 
 TAT : 2 hour for call back(Mention the same location in case which is being searched in Map in answer 3 field) 
TAT : 2 hour for call back(Mention the same location in case which is being searched in Map in answer 3 field)
 work code: pertaining to customer query  
work code: pertaining to customer query 
 
 LIGHT GREEN 
LIGHT GREEN
 Normal Coverage Area - Both indoor/outdoor complaints will be catered 
Normal Coverage Area - Both indoor/outdoor complaints will be catered
 CCR will cater both indoor /outdoor coverage complaints and will forward case to NCU as per existing process TAT 2hour for call back(Mention the same location in case which is being searched in Map in answer 3 field) 
CCR will cater both indoor /outdoor coverage complaints and will forward case to NCU as per existing process TAT 2hour for call back(Mention the same location in case which is being searched in Map in answer 3 field)
 No complaint will be entertained for indoor issues which is being faced for more than 15 days 
No complaint will be entertained for indoor issues which is being faced for more than 15 days
 
 work code: pertaining to customer query 
work code: pertaining to customer query
 
 YELLOW 
YELLOW
 Low Indoor Coverage Area -  Only valid for outdoor issues to be routed in technology domain 
Low Indoor Coverage Area -  Only valid for outdoor issues to be routed in technology domain
 CCR will not entertain indoor Coverage complaint, but will only log work code in Konnect as per existing process, CCR will politely guide customer about low coverage in that area informing that we are trying to extend coverage as soon as possible 
CCR will not entertain indoor Coverage complaint, but will only log work code in Konnect as per existing process, CCR will politely guide customer about low coverage in that area informing that we are trying to extend coverage as soon as possible
 work code: pertaining to customer query 
work code: pertaining to customer query
 
 CCR will cater outdoor coverage complaints and will forward case to NCU as per existing process 
CCR will cater outdoor coverage complaints and will forward case to NCU as per existing process
 
 TAT : NO timeline 
TAT : NO timeline
 
  BROWN 
 BROWN
 Low Indoor/Outdoor Coverage Area - Invalid for both Indoor/outdoor Complaints 
Low Indoor/Outdoor Coverage Area - Invalid for both Indoor/outdoor Complaints
 CCR will not entertain complaint, but will only log work code in Konnect as per existing process, CCR will politely guide customer about low coverage in that area informing that we are trying to extend coverage as soon as possible   
CCR will not entertain complaint, but will only log work code in Konnect as per existing process, CCR will politely guide customer about low coverage in that area informing that we are trying to extend coverage as soon as possible  
 work code: pertaining to customer query 
work code: pertaining to customer query
 
 TAT : NO timeline 
TAT : NO timeline
 
 WHITE 
WHITE
 NO Coverage  
NO Coverage 
 CCR will not entertain complaint but will only lock work code in Konnect as per existing process, CCR will politely guide customer about No coverage in that area informing that we are trying to provide coverage in these areas as soon as possible 
CCR will not entertain complaint but will only lock work code in Konnect as per existing process, CCR will politely guide customer about No coverage in that area informing that we are trying to provide coverage in these areas as soon as possible
 work code: pertaining to customer query 
work code: pertaining to customer query
 
 TAT: No timeline 
TAT: No timeline
 
 
 ",,,,,,,,
19,668 Data Mismatch Correction-Complaint Handling,If customer complaints regarding data mismatch in count of active numbers in 668 SMS and in our system (Extra connection reflecting on 668),,,,,,,,,
23,Block on Stolen,"Incase customer contacts us for Block on Stolen then we will follow below guidelines
LOV: Activation Complaints/Order - Suspend/Order - Suspend
Team: Operations and Financial Management","Note: If customer is calling from Same Account CLI then no alternate verification is required
2nd Time Blocking in a calender week
In case 2nd time number is going to blocked in a calendar week from helpline then agent will block number for last time and guide customer    “Sir/Madam we can block number 2 times in a week from helpline. Please visit front office for further blocking of same number”     Restoration will be processed from helpline if number is blocked without consent as per normal restoration process
Note: Blocking via *8822# can now be verified from CSRTB → Memos",,Self Service - *8822#,"Spammer – 1st Warning 
To avoid fraudulent blocking/malfunctioning we will not entertain customer request of blocking from helpline If number is already blocked 2 time within calendar week(except Blocking/Restoration due to HLR mismatch issue). Agent will route customer to front office for further blocking  
 
Spammer – 2nd Warning for IVR Blocking 
If customer called and complaint again after 1st warning, then  ","block on stolen/restoration via self service (*8822#) has been revamped with some new features for convience and better facilitation of customer. Also the check list for alternatve verification is slightly modified.
Checklist (*8822#)
New Functionality
1- Blocking via Same CNIC (*8822#)
If customer blocking number and stolen number on same CNIC then no other verification will be taken and number will block Immediately.
From other than same CNIC,complete verification will be required for blocking.
2- Number Restoration 
Number restoration via *8822# can only be performed via stolen number
 
Note: Blocking/Restoration number (done via *8822#) is now visible in CSRtb → Memos
Blocking

Restoration
",,,,
51,Network Complaints Outgoing Complaint-DBSS,Incase customer contacts us for outgoing complaint then we will follow below guidelines,"For postpaid / prepaid numbers, below process needs to be followed",,Link: https://cemdev.jazz.com.pk:909/SOP/Index/15497,"For HLR Barring removal handling we will follow the ""HLR Related Barring/Parameters issue - Handling"" link is mentioned below:
                       HLR Link: https://cemdev.jazz.com.pk:909/SOP/Index/15499","Follow restoration/unblocking process as per Blocking reason
 ",,,,
55,Online Payments Not Posted,"If customer visits and complaint about payment through Jazz cash, Easy Paisa or Online Banking channel but payment is not received in his mobile Bill/balance then we will follow below handling to answer the customer concern."," MSISDN, Date, Time, Medium, amount , error message in case of payment issue
MSISDN, Date, Time, Medium, Txn Id, amount",,  ,,,,,,
59,Staff Related Complaints,"Staff related complaint handling for the cases where customer complaints against any of our touchpoints (call center,Franchise,Experience Center) related to DFS or GSM services.","Type of Complaints to be acknowledged:
Mandatory Checklist:",,,,,,,,
63,Handset Offer Complaint,Cases where customer claims that his/her number is eligible to receive handset offer incentive but incentive not posted then we will follow below guidelines,,,,,,,,,
66,Jazz Adjustment VAS Features-DBSS,Handling for the cases where customer claims that he has wrongly charged/over deducted in VAS services including BTL/ATL offers.,"Checklist for Handset Incentive Posting issue
Confirm handset
Handset model eligibility as per KMS/ IMEI list (shared by devicing team)
 
Checklist for VAS Deduction",,,"Agent to make activity in eFront for amount posting and guide respective TAT to customer
Agent to make activity in eFront for amount posting and guide respective TAT to customer
eFront → Creator
eFront → Creator
Activity type: Upfront Adjustment posting
Activity type: Upfront Adjustment posting
Reason
Reason
Amount
Amount
Date & time of deduction
Date & time of deduction
Calling CLI
Calling CLI
Activity to be routed to team leader for approval
Activity to be routed to team leader for approval
Team leader will approve the activity and posting request will be logged in system
Team leader will approve the activity and posting request will be logged in system
Auto generated log
Auto generated log
Will be shared with Jazz Adjustment Team for Bulk posting via uploader
Will be shared with Jazz Adjustment Team for Bulk posting via uploader
TAT: 3 hours
TAT: 3 hours","Create a case in super office as per below
Note: Incase no wrong deduction found then guide the customer accordingly and close the call","Incase after Un-subscription of above services is required when customer charged in financial then we will create below case in Super Office:
Front end agent will verify from the CSRTB/Super office if the said VAS has been deactivated before & there is no evidence in system for activation again then only he/she will create the CASE in below mentioned header other wise
Agent will follow the normal handling of VAS
Case Type->Bill Adjustment->Area->Credit note->Sub Area->Prepaid VAS features/Postpaid VAS
Mention issue detail in Summary field
TAT: 4 hours",,,
68,Jazz Adjustment - Subscription Charges Issue-DBSS,For below three scenarios we will follow mentioned handling:,,"WRONG DEDUCTION IDENTIFIED - AMOUNT IS MORE THAN OR EQUAL TO RS. 100 OR INCENTIVE POSTING REQUIRED
Agent will create a case in super office as per below
Note: Incase no wrong deduction found then guide the customer accordingly and close the call",,,"Agent will create a case in super office as per below
Note: Incase no wrong deduction found then guide the customer accordingly and close the call",,,,
1068,Jazz Adjustment - Package Plan Related,Handling for the cases where customer claims wrong deduction while activation of any package/bundle.,,,,,"Create a case in super office as per below
Note: Incase no wrong deduction found then guide the customer accordingly and close the call.",,,,
